Header Reference (BOM Reference),Stock Code,Description,Notes,Sequence Number,Quantity,Instruction,Unit of MEachsure,Scrap Percentage,Fixed Quantity,Use Only in BOM Module
SA-FG-0001,SA-FG-0003,100mm Single Flood Gate Hinge to Leaf,,20,1,,Each,0,FALSE,FALSE
SA-FG-0001,FG-0010-MP,100mm Gate Hinge Pin - 34.4 OD x 205mm Shaft,,30,1,,Each,0,FALSE,FALSE
SA-FG-0001,FG-0012-MP,100mm Gate Hinge Washer - 50 OD x 35 ID x 5mm,,40,2,,Each,0,FALSE,FALSE
SA-FG-0002,FG-0013-FP,100mm Gate Hinge Plate to Jamb - 15mm,,10,1,,Each,0,FALSE,FALSE
SA-FG-0002,FG-0017-FP,100mm Gate Hinge Plate to Jamb (Single) - 20mm,,20,2,,Each,0,FALSE,FALSE
SA-FG-0002,FG-0016-FP,100mm Gate Hinge Stiffener - 10mm,,30,1,,Each,0,FALSE,FALSE
SA-FG-0003,FG-0014-FP,100mm Gate Hinge Plate to Leaf - 15mm,,10,1,,Each,0,FALSE,FALSE
SA-FG-0003,FG-0018-FP,100mm Gate Hinge Plate to Leaf Lug - 15mm,,20,2,,Each,0,FALSE,FALSE
SA-FG-0003,FG-0011-MP,100mm Gate Hinge Barrel Housing - 80 OD x 120mm,,30,1,,Each,0,FALSE,FALSE
SA-FG-0003,PP-FIX-M6-0006,M6 Grease Nipple - A2,,40,1,,Each,0,FALSE,FALSE
SA-FG-0003,PP-FG-0003,100mm Gate Hinge Oilite Bush - 41 OD x 35 ID x 35mm,,50,2,,Each,0,FALSE,FALSE
SA-FG-0004,SA-FG-0006,100mm Single Gate Nut (Locking Mechanism),,10,1,,Each,0,FALSE,FALSE
SA-FG-0004,FG-0040-MP,Single Gate Spindle - 25 OD x 300mm Shaft,,20,1,,Each,0,FALSE,FALSE
SA-FG-0004,SA-FG-0007,100mm Single Gate Pivot Bracket (Locking Mechanism),,30,1,,Each,0,FALSE,FALSE
SA-FG-0005,FG-0042-MP,Single Gate Pivot Block - 40x50x90mm ,,10,1,,Each,0,FALSE,FALSE
SA-FG-0005,FG-0043-MP,Single Gate Pivot Block Cover - 40x60x10mm ,,20,1,,Each,0,FALSE,FALSE
SA-FG-0005,PP-FG-0005,Flanged Oilite Bearing - 39x3.5 Flange x 30 OD x 25 ID x 32mm,,30,1,,Each,0,FALSE,FALSE
